Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	-1.993689e-6
1.6e-7	-1.007384e-6
3.2e-7	-8.359057e-7
4.8e-7	1.918977e-6
6.4e-7	3.05523e-6
8e-7	1.778668e-6
9.6e-7	2.689508e-6
1.12e-6	3.01934e-6
1.28e-6	3.400364e-6
1.44e-6	3.460349e-6
1.6e-6	3.222741e-6
1.76e-6	2.47688e-6
1.92e-6	1.759207e-6
2.08e-6	2.138078e-6
2.24e-6	4.174179e-6
2.4e-6	3.823817e-6
2.56e-6	2.203891e-6
2.72e-6	-3.223506e-7
2.88e-6	-1.022971e-6
3.04e-6	5.758711e-7
3.2e-6	-1.534409e-6
3.36e-6	-2.376866e-6
3.52e-6	1.701412e-6
3.68e-6	3.172481e-6
3.84e-6	1.619156e-6
4e-6	1.774207e-6
4.16e-6	-8.638419e-7
4.32e-6	2.231568e-7
4.48e-6	5.854023e-6
4.64e-6	1.132367e-5
4.8e-6	1.081008e-5
4.96e-6	7.653945e-6
5.12e-6	9.581914e-6
5.28e-6	1.318303e-5
5.44e-6	1.159532e-5
5.6e-6	9.762212e-6
5.76e-6	7.447288e-6
5.92e-6	6.636747e-6
6.08e-6	3.064654e-6
6.24e-6	9.100096e-7
6.4e-6	1.731416e-7
6.56e-6	7.124268e-8
6.72e-6	-4.471673e-7
6.88e-6	-2.59467e-6
7.04e-6	-3.150995e-6
7.2e-6	-5.940426e-6
7.36e-6	-6.841946e-6
7.52e-6	-6.231556e-6
7.68e-6	-7.508266e-6
7.84e-6	-1.023111e-5
8e-6	-1.193846e-5
8.16e-6	-1.100738e-5
8.32e-6	-1.430144e-5
8.48e-6	-1.289377e-5
8.64e-6	-1.238235e-5
8.8e-6	-1.019366e-5
8.96e-6	-1.002483e-5
9.12e-6	-9.141091e-6
9.28e-6	-9.375627e-6
9.44e-6	-7.614796e-6
9.6e-6	-8.546478e-6
9.76e-6	-1.134493e-5
9.92e-6	-1.260077e-5
1.008e-5	-1.487388e-5
1.024e-5	-1.587643e-5
1.04e-5	-1.669124e-5
1.056e-5	-2.00947e-5
1.072e-5	-1.950626e-5
1.088e-5	-1.969831e-5
1.104e-5	-1.878668e-5
1.12e-5	-1.832431e-5
1.136e-5	-1.773357e-5
1.152e-5	-1.686677e-5
1.168e-5	-1.769055e-5
1.184e-5	-1.947715e-5
1.2e-5	-1.849988e-5
1.216e-5	-1.745441e-5
1.232e-5	-1.711711e-5
1.248e-5	-1.634834e-5
1.264e-5	-1.626123e-5
1.28e-5	-1.826216e-5
1.296e-5	-1.392426e-5
1.312e-5	-1.494367e-5
1.328e-5	-1.658351e-5
1.344e-5	-1.502481e-5
1.36e-5	-1.653193e-5
1.376e-5	-1.575834e-5
1.392e-5	-1.392651e-5
1.408e-5	-1.106161e-5
1.424e-5	-1.209205e-5
1.44e-5	-1.381594e-5
1.456e-5	-1.225467e-5
1.472e-5	-9.827257e-6
1.488e-5	-9.779502e-6
1.504e-5	-7.687588e-6
1.52e-5	-4.452855e-6
1.536e-5	-5.750433e-6
1.552e-5	-6.330717e-6
1.568e-5	-4.88498e-6
1.584e-5	-8.201576e-7
1.6e-5	1.707792e-8
1.616e-5	1.255123e-6
1.632e-5	4.337318e-6
1.648e-5	3.067184e-6
1.664e-5	5.405369e-7
1.68e-5	-1.396499e-6
1.696e-5	5.816032e-7
1.712e-5	8.494504e-7
1.728e-5	3.335304e-6
1.744e-5	2.560341e-6
1.76e-5	3.765157e-6
1.776e-5	4.460947e-6
1.792e-5	3.664401e-6
1.808e-5	2.369253e-6
1.824e-5	4.428695e-6
1.84e-5	3.110176e-6
1.856e-5	5.415806e-6
1.872e-5	3.06024e-6
1.888e-5	2.056591e-7
1.904e-5	7.876973e-7
1.92e-5	1.754215e-6
1.936e-5	9.268853e-7
1.952e-5	1.638886e-6
1.968e-5	7.610286e-8
1.984e-5	-2.014971e-8
2e-5	6.722597e-7
2.016e-5	-1.424049e-6
2.032e-5	-2.219676e-6
2.048e-5	-1.706972e-8
2.064e-5	-2.259759e-7
2.08e-5	-1.617748e-6
2.096e-5	-4.42848e-6
2.112e-5	-5.615656e-6
2.128e-5	-4.336249e-6
2.144e-5	-3.723806e-6
2.16e-5	-1.891947e-6
2.176e-5	-4.338376e-6
2.192e-5	-3.798687e-6
2.208e-5	-1.367535e-6
2.224e-5	-1.520325e-6
2.24e-5	-2.900366e-6
2.256e-5	-1.07814e-6
2.272e-5	-3.588229e-8
2.288e-5	1.752895e-6
2.304e-5	2.037151e-6
2.32e-5	-7.384529e-8
2.336e-5	-2.454261e-6
2.352e-5	-2.066756e-6
2.368e-5	-8.750397e-7
2.384e-5	1.488022e-6
2.4e-5	3.935661e-6
2.416e-5	-3.854026e-7
2.432e-5	-5.06917e-7
2.448e-5	-1.907842e-6
2.464e-5	-4.138284e-6
2.48e-5	-1.195611e-6
2.496e-5	-1.834734e-6
2.512e-5	-3.73107e-6
2.528e-5	-2.665878e-6
2.544e-5	7.594605e-8
2.56e-5	1.219482e-6
2.576e-5	4.790454e-7
2.592e-5	-2.403863e-7
2.608e-5	2.481921e-6
2.624e-5	-2.874729e-7
2.64e-5	9.122049e-7
2.656e-5	4.235578e-6
2.672e-5	4.158032e-6
2.688e-5	5.770864e-6
2.704e-5	7.086285e-6
2.72e-5	9.582159e-6
2.736e-5	9.683006e-6
2.752e-5	1.294234e-5
2.768e-5	1.32856e-5
2.784e-5	1.250039e-5
2.8e-5	9.683356e-6
2.816e-5	7.52647e-6
2.832e-5	8.236988e-6
2.848e-5	7.018479e-6
2.864e-5	7.413958e-6
2.88e-5	7.330808e-6
2.896e-5	8.971179e-6
2.912e-5	7.623229e-6
2.928e-5	9.149653e-6
2.944e-5	6.554906e-6
2.96e-5	4.182958e-6
2.976e-5	2.495717e-6
2.992e-5	4.801728e-6
3.008e-5	1.333351e-6
3.024e-5	4.196443e-8
3.04e-5	2.267856e-6
3.056e-5	-7.634633e-7
3.072e-5	-2.857007e-6
3.088e-5	-5.509643e-6
3.104e-5	-9.089466e-6
3.12e-5	-7.868302e-6
3.136e-5	-6.779124e-6
3.152e-5	-6.651298e-6
3.168e-5	-9.148451e-6
3.184e-5	-9.277956e-6
3.2e-5	-9.958651e-6
3.216e-5	-8.757998e-6
3.232e-5	-6.866931e-6
3.248e-5	-5.947203e-6
3.264e-5	-3.588875e-6
3.28e-5	-2.419263e-6
3.296e-5	-6.370792e-6
3.312e-5	-8.869565e-6
3.328e-5	-7.468845e-6
3.344e-5	-7.556372e-6
3.36e-5	-7.560809e-6
3.376e-5	-5.917006e-6
3.392e-5	-3.685331e-6
3.408e-5	-6.065171e-6
3.424e-5	-7.375626e-6
3.44e-5	-6.724378e-6
3.456e-5	-4.80387e-6
3.472e-5	-4.618448e-6
3.488e-5	-4.499617e-6
3.504e-5	-4.229054e-6
3.52e-5	-3.565803e-6
3.536e-5	-1.198898e-6
3.552e-5	-2.188011e-6
3.568e-5	-1.64291e-6
3.584e-5	-2.195226e-6
3.6e-5	-1.858348e-6
3.616e-5	1.193173e-6
