Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	2.509445e-5
1.5999999663e-8	-1.334869e-5
3.1999999327e-8	-1.690873e-5
4.799999899e-8	-4.429028e-5
6.3999998653e-8	-3.532021e-5
7.9999998317e-8	-7.713619e-5
9.599999798e-8	-4.31575e-5
1.1199999764e-7	-2.336828e-5
1.2799999731e-7	-1.395837e-5
1.4399999697e-7	-2.223856e-6
1.5999999663e-7	-6.56519e-6
1.759999963e-7	-8.742882e-6
1.9199999596e-7	2.814644e-5
2.0799999562e-7	6.801902e-5
2.2399999529e-7	4.645677e-5
2.3999999495e-7	5.746361e-5
2.5599999461e-7	4.929469e-5
2.7199999428e-7	7.000138e-5
2.8799999394e-7	6.015976e-5
3.039999936e-7	4.163749e-5
3.1999999327e-7	1.126365e-5
3.3599999293e-7	2.166617e-5
3.5199999259e-7	3.178818e-5
3.6799999226e-7	1.336881e-5
3.8399999192e-7	-2.451455e-5
3.9999999158e-7	-5.55958e-5
4.1599999125e-7	-6.080023e-5
4.3199999091e-7	-5.644529e-5
4.4799999057e-7	-0.000100566
4.6399999024e-7	-0.0001159337
4.799999899e-7	-9.047003e-5
4.9599998956e-7	-9.556919e-5
5.1199998923e-7	-2.313921e-5
5.2799998889e-7	-5.073419e-6
5.4399998855e-7	-6.0788e-6
5.5999998822e-7	2.135025e-5
5.7599998788e-7	-1.429139e-5
5.9199998754e-7	-8.768255e-6
6.0799998721e-7	-2.208045e-5
6.2399998687e-7	1.047088e-5
6.3999998653e-7	5.056056e-5
6.559999862e-7	6.049436e-5
6.7199998586e-7	5.06835e-5
6.8799998552e-7	4.574806e-5
7.0399998519e-7	3.646503e-5
7.1999998485e-7	4.510759e-5
7.3599998451e-7	1.62043e-5
7.5199998418e-7	1.973563e-5
7.6799998384e-7	2.247085e-5
7.839999835e-7	2.756012e-5
7.9999998317e-7	1.788727e-5
8.1599998283e-7	-4.922886e-6
8.3199998249e-7	-2.128016e-6
8.4799998216e-7	-4.913578e-5
8.6399998182e-7	-6.050426e-5
8.7999998148e-7	-6.602686e-5
8.9599998115e-7	-6.732455e-5
9.1199998081e-7	-7.1325e-5
9.2799998047e-7	-8.723946e-5
9.4399998014e-7	-0.0001051721
9.599999798e-7	-0.0001624005
9.7599997946e-7	-0.0001456311
9.9199997913e-7	-0.0001579468
1.0079999788e-6	-0.0001522162
1.0239999785e-6	-0.0001198497
1.0399999781e-6	-0.0001186426
1.0559999778e-6	-0.0001408918
1.0719999774e-6	-0.0001379794
1.0879999771e-6	-0.0001579439
1.1039999768e-6	-0.0001333831
1.1199999764e-6	-9.722104e-5
1.1359999761e-6	-5.923174e-5
1.1519999758e-6	-9.570955e-6
1.1679999754e-6	1.429822e-5
1.1839999751e-6	1.858678e-5
1.1999999748e-6	2.881649e-5
1.2159999744e-6	6.551262e-5
1.2319999741e-6	5.074064e-5
1.2479999737e-6	6.208387e-5
1.2639999734e-6	7.019125e-5
1.2799999731e-6	0.0001136928
1.2959999727e-6	0.0001406946
1.3119999724e-6	0.000137772
1.3279999721e-6	8.72197e-5
1.3439999717e-6	0.0001265763
1.3599999714e-6	7.929807e-5
1.375999971e-6	6.320732e-5
1.3919999707e-6	9.40943e-5
1.4079999704e-6	0.0001420132
1.42399997e-6	0.0001591267
1.4399999697e-6	0.0001327941
1.4559999694e-6	0.000124454
1.471999969e-6	0.0001568172
1.4879999687e-6	0.0001799687
1.5039999684e-6	0.0002069526
1.519999968e-6	0.0002566612
1.5359999677e-6	0.0002558295
1.5519999673e-6	0.0002604542
1.567999967e-6	0.0002741151
1.5839999667e-6	0.0002931145
1.5999999663e-6	0.0002551765
1.615999966e-6	0.0001845362
1.6319999657e-6	0.0001702827
1.6479999653e-6	0.0001564604
1.663999965e-6	0.0001170446
1.6799999647e-6	0.00010772
1.6959999643e-6	3.531022e-5
1.711999964e-6	2.834465e-5
1.7279999636e-6	-4.29741e-5
1.7439999633e-6	-7.768155e-5
1.759999963e-6	-0.0001165434
1.7759999626e-6	-0.0001740092
1.7919999623e-6	-0.0001916839
1.807999962e-6	-0.0002223966
1.8239999616e-6	-0.0002523056
1.8399999613e-6	-0.000252293
1.8559999609e-6	-0.0002491885
1.8719999606e-6	-0.0002536909
1.8879999603e-6	-0.0002390035
1.9039999599e-6	-0.0002121334
1.9199999596e-6	-0.000197043
1.9359999593e-6	-0.0001577894
1.9519999589e-6	-0.0001380168
1.9679999586e-6	-0.0001071587
1.9839999583e-6	-7.744088e-5
1.9999999579e-6	-7.535837e-5
2.0159999576e-6	-4.514545e-5
2.0319999572e-6	-1.317152e-5
2.0479999569e-6	1.245125e-5
2.0639999566e-6	2.009161e-5
2.0799999562e-6	-1.376238e-6
2.0959999559e-6	2.346291e-5
2.1119999556e-6	2.395099e-5
2.1279999552e-6	1.147633e-5
2.1439999549e-6	2.999634e-5
2.1599999546e-6	8.793595e-6
2.1759999542e-6	1.888209e-5
2.1919999539e-6	2.420403e-5
2.2079999535e-6	-6.039759e-7
2.2239999532e-6	2.190618e-5
2.2399999529e-6	1.208983e-5
2.2559999525e-6	-5.904501e-6
2.2719999522e-6	-3.685202e-7
2.2879999519e-6	3.827558e-5
2.3039999515e-6	1.247347e-5
2.3199999512e-6	-3.361973e-5
2.3359999508e-6	-4.921317e-5
2.3519999505e-6	-3.359678e-5
2.3679999502e-6	-1.233509e-5
2.3839999498e-6	-3.079006e-5
2.3999999495e-6	-8.857822e-5
2.4159999492e-6	-8.594165e-5
2.4319999488e-6	-0.0001037641
2.4479999485e-6	-0.0001045472
2.4639999482e-6	-9.840497e-5
2.4799999478e-6	-0.0001034813
2.4959999475e-6	-8.805499e-5
2.5119999471e-6	-3.657708e-5
2.5279999468e-6	1.955696e-7
2.5439999465e-6	5.14572e-5
2.5599999461e-6	6.549514e-5
2.5759999458e-6	5.580362e-5
2.5919999455e-6	9.235173e-5
2.6079999451e-6	0.0001812847
2.6239999448e-6	0.0001972497
2.6399999445e-6	0.0002252488
2.6559999441e-6	0.0002520112
2.6719999438e-6	0.0002761441
2.6879999434e-6	0.0002539394
2.7039999431e-6	0.0002299309
2.7199999428e-6	0.0002306581
2.7359999424e-6	0.000214155
2.7519999421e-6	0.0001948
2.7679999418e-6	0.0001578425
2.7839999414e-6	0.0001807471
2.7999999411e-6	0.0001567748
2.8159999408e-6	0.0001148216
2.8319999404e-6	7.331236e-5
2.8479999401e-6	4.012623e-5
2.8639999397e-6	8.247093e-6
2.8799999394e-6	-1.274048e-5
2.8959999391e-6	-4.363657e-5
2.9119999387e-6	-4.074327e-5
2.9279999384e-6	-3.660524e-5
2.9439999381e-6	-6.942888e-5
2.9599999377e-6	-0.0001125039
2.9759999374e-6	-0.0001334926
2.991999937e-6	-0.0001557665
3.0079999367e-6	-0.0001734822
3.0239999364e-6	-0.0001747042
3.039999936e-6	-0.0001737075
3.0559999357e-6	-0.0001620728
3.0719999354e-6	-0.000149495
3.087999935e-6	-0.0001693592
3.1039999347e-6	-0.000153568
3.1199999344e-6	-0.0001147321
3.135999934e-6	-0.000100872
